物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15060010,李锦记旧装蚝油 510克,瓶,,徐博馆仓库,8.00,29.500,236.00
15060016,泰国鱼露 725毫升,瓶,,徐博馆仓库,3.00,8.000,24.00
15060022,保卫尔牛肉汁 375ml,瓶,,徐博馆仓库,3.00,48.000,144.00
15060029,味淋 1.8l,瓶,,徐博馆仓库,4.00,25.835,103.34
15060033,家乐浓缩鸡汁 1kg,瓶,,徐博馆仓库,3.00,51.000,153.00
15060045,李锦记财神蚝油 907G,支,,徐博馆仓库,6.00,13.500,81.00
15060048,海天罐装金标生抽 1.9l,罐,,徐博馆仓库,7.00,16.600,116.20
15060049,海天罐装草菇老抽 1.9L,罐,,徐博馆仓库,7.00,18.200,127.40
15060050,丘比凯撒沙拉汁 1kg,支,,徐博馆仓库,5.00,60.000,300.00
15060054,鸡饭老抽 640ml,支,,徐博馆仓库,2.00,21.000,42.00
15060062,东古一品鲜酱油 500ML,支,,徐博馆仓库,12.00,7.500,90.00
15060069,家乐麻辣鲜露 400ml,支,,徐博馆仓库,4.00,15.000,60.00
15070009,旗牌芥辣,支,,徐博馆仓库,5.00,8.000,40.00
15070023,鱼胶粉 500克,盒,,徐博馆仓库,2.00,52.000,104.00
15070026,鹰粟粉 1kg,包,,徐博馆仓库,6.00,10.000,60.00
15070027,斧头食粉 454g,合,,徐博馆仓库,1.00,4.500,4.50
15070029,依仕粉 500g,包,,徐博馆仓库,2.00,18.000,36.00
15070032,松肉粉,瓶,,徐博馆仓库,2.00,11.000,22.00
15070062,奶粉 500g,包,,徐博馆仓库,3.00,31.000,93.00
15070084,鸡粉 2kg,罐,,徐博馆仓库,6.00,65.000,390.00
15070125,客家鸡料,盒,,徐博馆仓库,3.00,9.000,27.00
15070134,靓佛手味粉 4540g,包,,徐博馆仓库,2.00,170.000,340.00
15070148,麝香,支,,徐博馆仓库,80.00,117.957,"9,436.59"
15080014,大花菇,斤,,徐博馆仓库,4.00,166.730,666.92
15080019,竹笙,斤,,徐博馆仓库,1.00,320.000,320.00
15080023,榆耳,斤,,徐博馆仓库,1.00,150.000,150.00
15080025,雪耳,斤,,徐博馆仓库,1.50,35.000,52.50
15080027,日本紫菜 50片4两,包,,徐博馆仓库,3.00,25.000,75.00
15080035,110头元柱甫,斤,,徐博馆仓库,0.50,364.320,182.16
15080080,好味面包糠,包,,徐博馆仓库,2.00,12.000,24.00
15080109,日本昆布 0.2斤/包,包,,徐博馆仓库,12.00,116.000,"1,392.00"
15080113,靓老鼠耳,斤,,徐博馆仓库,5.00,105.000,525.00
15080166,龙口粉丝 200g,包,,徐博馆仓库,4.00,3.500,14.00
15080168,去衣杏仁,斤,,徐博馆仓库,6.00,21.000,126.00
15080178,小米辣椒,斤,,徐博馆仓库,4.00,4.000,16.00
15080180,包装支竹 150G,包,,徐博馆仓库,3.00,6.500,19.50
15080191,海南胡椒 1斤,包,,徐博馆仓库,23.00,58.000,"1,334.00"
15080193,鲨鱼胶（小）,斤,,徐博馆仓库,9.80,327.627,"3,210.74"
15080194,鲨鱼胶（中）,斤,,徐博馆仓库,9.00,393.150,"3,538.35"
15080196,黄鱼皮,斤,,徐博馆仓库,28.00,326.880,"9,152.64"
15090023,松子仁,斤,,徐博馆仓库,2.00,100.000,200.00
15090027,黑芝麻,斤,,徐博馆仓库,2.00,11.500,23.00
15090028,白芝麻,斤,,徐博馆仓库,1.00,11.500,11.50
15090029,蜜枣,斤,,徐博馆仓库,4.00,8.000,32.00
15090030,元肉,斤,,徐博馆仓库,1.50,25.000,37.50
15090032,无核红枣,斤,,徐博馆仓库,4.00,7.000,28.00
15090107,红衣花生,斤,,徐博馆仓库,7.00,8.000,56.00
15090148,干无花果,斤,,徐博馆仓库,3.00,20.000,60.00
15100002,鹰唛炼奶 370g,罐,,徐博馆仓库,26.00,11.000,286.00
15100004,三花淡奶 410克,罐,,徐博馆仓库,28.00,7.000,196.00
15100005,保利奶 1kg,罐,,徐博馆仓库,15.00,16.000,240.00
15100020,红车厘子 737,罐,,徐博馆仓库,4.00,19.000,76.00
15100026,高达椰浆 400g,罐,,徐博馆仓库,21.00,8.500,178.50
15100034,地扪杂果,罐,,徐博馆仓库,1.00,12.000,12.00
15100070,高达黑椒碎,罐,,徐博馆仓库,1.00,47.000,47.00
15100071,桂花糖 300g,支,,徐博馆仓库,2.00,5.000,10.00
