物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15080193,鲨鱼胶（小）,斤,,徐博馆仓库,9.80,327.627,"3,210.74"
15080194,鲨鱼胶（中）,斤,,徐博馆仓库,9.00,393.150,"3,538.35"
15080196,黄鱼皮,斤,,徐博馆仓库,28.00,326.880,"9,152.64"
15090006,绿豆,斤,,徐博馆仓库,4.00,6.500,26.00
15090016,腰果,斤,,徐博馆仓库,5.00,34.000,170.00
15090023,松子仁,斤,,徐博馆仓库,1.00,100.000,100.00
15090027,黑芝麻,斤,,徐博馆仓库,2.00,11.500,23.00
15090028,白芝麻,斤,,徐博馆仓库,1.00,11.500,11.50
15090029,蜜枣,斤,,徐博馆仓库,3.00,8.000,24.00
15090030,元肉,斤,,徐博馆仓库,1.00,25.000,25.00
15090106,西杏片,斤,,徐博馆仓库,2.00,42.000,84.00
15090107,红衣花生,斤,,徐博馆仓库,10.00,8.000,80.00
15100002,鹰唛炼奶 370g,罐,,徐博馆仓库,40.00,11.000,440.00
15100004,三花淡奶 410克,罐,,徐博馆仓库,7.00,7.000,49.00
15100005,保利奶 1kg,罐,,徐博馆仓库,4.00,16.000,64.00
15100009,雀巢咖啡 200g,瓶,,徐博馆仓库,2.00,58.000,116.00
15100018,豆豉鲮鱼 227g,罐,,徐博馆仓库,10.00,8.000,80.00
15100020,红车厘子 737,罐,,徐博馆仓库,4.00,19.000,76.00
15100026,高达椰浆 400g,罐,,徐博馆仓库,20.00,8.500,170.00
15100034,地扪杂果,罐,,徐博馆仓库,6.00,12.000,72.00
15100070,高达黑椒碎,罐,,徐博馆仓库,3.00,47.000,141.00
15100071,桂花糖 300g,支,,徐博馆仓库,2.00,5.000,10.00
15100073,蓬盛榄菜,瓶,,徐博馆仓库,10.00,4.000,40.00
15100077,金牌水蜜桃 822g,罐,,徐博馆仓库,2.00,13.000,26.00
15100079,百利红腰豆 432g,罐,,徐博馆仓库,6.00,4.500,27.00
15100085,东古野山椒 180g,瓶,,徐博馆仓库,3.00,3.500,10.50
15100091,宝鼎黑小榄 350G,瓶,,徐博馆仓库,4.00,15.000,60.00
15100093,小放牛冬菜,瓶,,徐博馆仓库,2.00,6.800,13.60
15100097,咸柠檬,瓶,,徐博馆仓库,2.00,85.000,170.00
15100098,酸青瓜,瓶,,徐博馆仓库,12.00,21.000,252.00
15110009,酸子姜,罐,,徐博馆仓库,1.00,12.000,12.00
15110013,火窝料,包,,徐博馆仓库,5.00,3.500,17.50
15110014,麦冬,斤,,徐博馆仓库,4.00,171.500,686.00
15120001,太子参,斤,,徐博馆仓库,1.50,550.000,825.00
15120004,海马,斤,,徐博馆仓库,0.60,"3,000.000","1,800.00"
15120007,杞子,斤,,徐博馆仓库,2.00,28.000,56.00
15120009,玉竹,斤,,徐博馆仓库,2.00,147.000,294.00
15120010,党参,斤,,徐博馆仓库,1.00,220.500,220.50
15120019,白术,斤,,徐博馆仓库,1.00,73.500,73.50
15120026,杜仲,斤,,徐博馆仓库,2.00, , 
15120027,罗汉果,只,,徐博馆仓库,4.00,1.200,4.80
15120048,草果,斤,,徐博馆仓库,1.00,30.000,30.00
15120054,豆扣,斤,,徐博馆仓库,1.00,29.000,29.00
15120057,石斛,斤,,徐博馆仓库,2.00,719.260,"1,438.52"
15120074,锁阳,斤,,徐博馆仓库,2.00, , 
15120115,青花椒,斤,,徐博馆仓库,2.00,38.000,76.00
15120119,地龙干,斤,,徐博馆仓库,2.80,85.000,238.00
15120133,石斛花（金兰花）,斤,,徐博馆仓库,1.00,"1,100.000","1,100.00"
15120138,川弓,斤,,徐博馆仓库,0.20,65.000,13.00
15120143,宝光珍珠,斤,,徐博馆仓库,2.80,982.875,"2,752.05"
15120156,鹿茸片 37.5G,包,,徐博馆仓库,22.00,200.000,"4,400.00"
15120161,当归片,斤,,徐博馆仓库,0.90,175.000,157.50
15120171,刺龟壳（海胆）,斤,,徐博馆仓库,3.00,48.000,144.00
15120172,黄芪,斤,,徐博馆仓库,3.50,180.000,630.00
15120174,20年陈皮,斤,,徐博馆仓库,5.40,658.330,"3,554.98"
,食品,,,,,,"114,757.36"
15120086,西藏红花,g,,徐博馆仓库,170.25,13.392,"2,280.00"
,饮料,,,,,,"2,280.00"
Y1020082,高级料理刀,把,,徐博馆仓库,1.00,500.000,500.00
Y1020083,双立人刀,把,,徐博馆仓库,1.00,500.000,500.00
合计,,,,,"1,802.25",266.451,"479,165.70"
