物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15040005,李锦记豆瓣酱 226克,支,,徐博馆仓库,12.00,15.000,180.00
15040007,四季宝花生酱 1kg,罐,,徐博馆仓库,6.00,35.000,210.00
15040010,卡夫奇妙酱 700ml,瓶,,徐博馆仓库,3.00,22.000,66.00
15040017,老干妈风味豆豉 280克,瓶,,徐博馆仓库,8.00,7.000,56.00
15040019,芝麻酱 510克,瓶,,徐博馆仓库,5.00,8.500,42.50
15040024,原汁酸梅 350g,瓶,,徐博馆仓库,1.00,4.500,4.50
15040036,味可美草莓酱,瓶,,徐博馆仓库,10.00,8.900,89.00
15040041,蒜茸辣椒酱(李锦记） 226克,瓶,,徐博馆仓库,4.00,22.000,88.00
15040043,叉烧酱,瓶,,徐博馆仓库,5.00,21.500,107.50
15040049,阳江豆豉 400克,合,,徐博馆仓库,5.00,4.200,21.00
15040081,李锦记虾酱 227克,瓶,,徐博馆仓库,5.00,21.000,105.00
15040089,地门玉米粒 420g,罐,,徐博馆仓库,15.00,6.000,90.00
15040106,东莞黄豆酱 2.8KG,罐,,徐博馆仓库,2.00,48.000,96.00
15040107,红泡椒,罐,,徐博馆仓库,4.00,11.500,46.00
15040118,黑松露酱,瓶,,徐博馆仓库,2.00,487.500,975.00
15040148,丘比蓝莓酱,瓶,,徐博馆仓库,8.00,17.500,140.00
15050016,宁化府陈醋 330ml,支,,徐博馆仓库,52.00,10.750,559.00
15050019,宝鼎上海白醋,支,,徐博馆仓库,5.00,3.600,18.00
15060003,美极鲜 800毫升,瓶,,徐博馆仓库,3.00,35.500,106.50
15060009,日本海鲜豉油 200ml,瓶,,徐博馆仓库,10.00,20.000,200.00
15060010,李锦记旧装蚝油 510克,瓶,,徐博馆仓库,3.00,29.500,88.50
15060016,泰国鱼露 725毫升,瓶,,徐博馆仓库,2.00,8.000,16.00
15060022,保卫尔牛肉汁 375ml,瓶,,徐博馆仓库,4.00,48.000,192.00
15060029,味淋 1.8l,瓶,,徐博馆仓库,3.00,55.000,165.00
15060033,家乐浓缩鸡汁 1kg,瓶,,徐博馆仓库,5.00,51.000,255.00
15060048,海天罐装金标生抽 1.9l,罐,,徐博馆仓库,4.00,16.700,66.80
15060049,海天罐装草菇老抽 1.9L,罐,,徐博馆仓库,7.00,18.000,126.00
15060054,鸡饭老抽 640ml,支,,徐博馆仓库,4.00,21.000,84.00
15060062,东古一品鲜酱油 500ML,支,,徐博馆仓库,12.00,7.500,90.00
15060064,韩国烧汁,支,,徐博馆仓库,4.00,50.000,200.00
15060065,李派林急汁,支,,徐博馆仓库,4.00,17.500,70.00
15060069,家乐麻辣鲜露 400ml,支,,徐博馆仓库,3.00,15.000,45.00
15070009,旗牌芥辣,支,,徐博馆仓库,4.00,8.000,32.00
15070023,鱼胶粉 500克,盒,,徐博馆仓库,4.00,52.000,208.00
15070026,鹰粟粉 1kg,包,,徐博馆仓库,10.00,10.000,100.00
15070027,斧头食粉 454g,合,,徐博馆仓库,3.00,4.500,13.50
15070029,依仕粉 500g,包,,徐博馆仓库,3.00,17.000,51.00
15070062,奶粉 500g,包,,徐博馆仓库,2.00,31.000,62.00
15070084,鸡粉 2kg,罐,,徐博馆仓库,6.00,65.000,390.00
15070125,客家鸡料,盒,,徐博馆仓库,3.00,9.000,27.00
15070134,靓佛手味粉 4540g,包,,徐博馆仓库,1.00,165.000,165.00
15070146,木薯粉 0.5KG,包,,徐博馆仓库,3.00,5.500,16.50
15070148,麝香,支,,徐博馆仓库,80.00,117.957,"9,436.59"
15080002,虾米,斤,,徐博馆仓库,8.50,43.000,365.50
15080014,大花菇,斤,,徐博馆仓库,2.00,166.730,333.46
15080019,竹笙,斤,,徐博馆仓库,1.30,125.000,162.50
15080023,榆耳,斤,,徐博馆仓库,1.00,150.000,150.00
15080025,雪耳,斤,,徐博馆仓库,1.50,35.000,52.50
15080027,日本紫菜 50片4两,包,,徐博馆仓库,3.00,25.000,75.00
15080080,好味面包糠,包,,徐博馆仓库,2.00,12.000,24.00
15080087,羊肚菌,斤,,徐博馆仓库,3.00,"1,266.667","3,800.00"
15080097,黑虎掌菌,斤,,徐博馆仓库,1.00,580.000,580.00
15080109,日本昆布 0.2斤/包,包,,徐博馆仓库,5.00,116.000,580.00
15080113,靓老鼠耳,斤,,徐博馆仓库,7.20,105.000,756.00
15080150,70头碎柱,斤,,徐博馆仓库,5.80,283.329,"1,643.31"
15080166,龙口粉丝 200g,包,,徐博馆仓库,9.00,3.500,31.50
15080168,去衣杏仁,斤,,徐博馆仓库,6.00,21.000,126.00
15080180,包装支竹 150G,包,,徐博馆仓库,3.00,6.500,19.50
15080191,海南胡椒 1斤,包,,徐博馆仓库,14.00,58.000,812.00
15080193,鲨鱼胶（小）,斤,,徐博馆仓库,7.80,327.627,"2,555.49"
15080194,鲨鱼胶（中）,斤,,徐博馆仓库,6.50,393.149,"2,555.47"
15080196,黄鱼皮,斤,,徐博馆仓库,28.00,326.880,"9,152.64"
15080202,山瑞裙,斤,,徐博馆仓库,15.30,666.670,"10,200.05"
15090006,绿豆,斤,,徐博馆仓库,5.00,6.500,32.50
15090016,腰果,斤,,徐博馆仓库,4.40,35.000,154.00
15090023,松子仁,斤,,徐博馆仓库,1.00,100.000,100.00
15090028,白芝麻,斤,,徐博馆仓库,2.00,11.000,22.00
15090029,蜜枣,斤,,徐博馆仓库,5.00,8.000,40.00
15090032,无核红枣,斤,,徐博馆仓库,5.00,7.000,35.00
