物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15060064,韩国烧汁,支,,徐博馆仓库,4.00,57.000,228.00
15060065,李派林急汁,支,,徐博馆仓库,2.00,17.500,35.00
15060069,家乐麻辣鲜露 400ml,支,,徐博馆仓库,6.00,15.000,90.00
15060084,家乐牛肉汁 480ML,支,,徐博馆仓库,1.00,34.500,34.50
15070009,旗牌芥辣,支,,徐博馆仓库,1.00,8.000,8.00
15070023,鱼胶粉 500克,盒,,徐博馆仓库,4.00,52.000,208.00
15070026,鹰粟粉 800g,盒,,徐博馆仓库,2.00,10.000,20.00
15070029,依仕粉 500g,包,,徐博馆仓库,1.00,18.000,18.00
15070037,胡椒粉 400g,包,,徐博馆仓库,1.00,5.000,5.00
15070062,奶粉 500g,包,,徐博馆仓库,2.00,30.000,60.00
15070084,鸡粉 2kg,罐,,徐博馆仓库,4.00,65.000,260.00
15070108,火锅料,包,,徐博馆仓库,1.00,3.500,3.50
15070125,客家鸡料,盒,,徐博馆仓库,2.00,9.000,18.00
15070129,木鱼素,盒,,徐博馆仓库,1.00,85.000,85.00
15070134,靓佛手味粉 4540g,包,,徐博馆仓库,2.00,165.000,330.00
15070146,木薯粉 0.5KG,包,,徐博馆仓库,7.00,5.500,38.50
15070148,麝香,支,,徐博馆仓库,80.00,117.957,"9,436.59"
15080002,虾米,斤,,徐博馆仓库,3.00,56.000,168.00
15080014,大花菇,斤,,徐博馆仓库,3.00,166.730,500.19
15080019,竹笙,斤,,徐博馆仓库,2.00,320.000,640.00
15080023,榆耳,斤,,徐博馆仓库,1.00,150.000,150.00
15080025,雪耳,斤,,徐博馆仓库,1.50,35.000,52.50
15080027,日本紫菜 50片4两,包,,徐博馆仓库,3.00,25.000,75.00
15080035,110头元柱甫,斤,,徐博馆仓库,0.50,364.320,182.16
15080080,好味面包糠,包,,徐博馆仓库,2.00,12.000,24.00
15080086,师傅300改良剂,包,,徐博馆仓库,1.00,18.000,18.00
15080087,羊肚菌,斤,,徐博馆仓库,0.90,"1,550.000","1,395.00"
15080097,黑虎掌菌,斤,,徐博馆仓库,1.00,580.000,580.00
15080109,日本昆布 0.2斤/包,包,,徐博馆仓库,45.00,116.000,"5,220.00"
15080113,靓老鼠耳,斤,,徐博馆仓库,2.50,125.000,312.50
15080139,山楂干,斤,,徐博馆仓库,1.50,15.000,22.50
15080150,70头碎柱,斤,,徐博馆仓库,6.00,266.670,"1,600.02"
15080165,野生金耳 0.5斤/包,斤,,徐博馆仓库,0.50,100.000,50.00
15080166,龙口粉丝 200g,包,,徐博馆仓库,1.00,3.500,3.50
15080168,去衣杏仁,斤,,徐博馆仓库,7.00,21.000,147.00
15080180,包装支竹 150G,包,,徐博馆仓库,3.00,6.500,19.50
15080191,海南胡椒 1斤,包,,徐博馆仓库,32.00,58.000,"1,856.00"
15080193,鲨鱼胶（小）,斤,,徐博馆仓库,14.80,327.627,"4,848.88"
15080194,鲨鱼胶（中）,斤,,徐博馆仓库,17.80,393.150,"6,998.07"
15080196,黄鱼皮,斤,,徐博馆仓库,28.00,326.880,"9,152.64"
15090006,绿豆,斤,,徐博馆仓库,15.00,5.500,82.50
15090016,腰果,斤,,徐博馆仓库,5.00,34.000,170.00
15090023,松子仁,斤,,徐博馆仓库,2.00,95.000,190.00
15090028,白芝麻,斤,,徐博馆仓库,2.00,11.000,22.00
15090029,蜜枣,斤,,徐博馆仓库,5.00,8.000,40.00
15090030,元肉,斤,,徐博馆仓库,3.00,25.000,75.00
15090031,红枣,斤,,徐博馆仓库,3.00,7.000,21.00
15090106,西杏片,斤,,徐博馆仓库,2.00,40.000,80.00
15090107,红衣花生,斤,,徐博馆仓库,7.00,8.000,56.00
15090127,雪莲子,斤,,徐博馆仓库,1.00,175.000,175.00
15100002,鹰唛炼奶 370g,罐,,徐博馆仓库,6.00,11.000,66.00
15100004,三花淡奶 410克,罐,,徐博馆仓库,27.00,7.000,189.00
15100005,保利奶 1kg,罐,,徐博馆仓库,16.00,16.000,256.00
15100018,豆豉鲮鱼 227g,罐,,徐博馆仓库,25.00,8.000,200.00
15100020,红车厘子 737,罐,,徐博馆仓库,3.00,19.000,57.00
15100026,高达椰浆 400g,罐,,徐博馆仓库,4.00,8.500,34.00
15100034,地扪杂果,罐,,徐博馆仓库,9.00,11.000,99.00
15100071,桂花糖 300g,支,,徐博馆仓库,2.00,5.000,10.00
15100073,蓬盛榄菜,瓶,,徐博馆仓库,13.00,4.000,52.00
15100077,金牌水蜜桃 822g,罐,,徐博馆仓库,2.00,13.000,26.00
