物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额,,,
15040125,杏仁霜,罐,,徐博馆仓库,1.00,14.000,14.00,,,
15050009,花城白米醋 630毫升,瓶,,徐博馆仓库,1.00,3.500,3.50,,,
15050016,宁化府陈醋 330ml,支,,徐博馆仓库,36.00,10.750,387.00,,,
15050019,宝鼎上海白醋,支,,徐博馆仓库,7.00,3.200,22.40,,,
15060003,美极鲜 800毫升,瓶,,徐博馆仓库,2.00,35.500,71.00,,,
15060008,万字豉油 1.8l,瓶,,徐博馆仓库,1.00,37.000,37.00,,,
15060009,日本海鲜豉油 200ml,瓶,,徐博馆仓库,13.00,19.000,247.00,,,
15060010,李锦记旧装蚝油 510克,瓶,,徐博馆仓库,5.00,32.000,160.00,,,
15060016,泰国鱼露 725毫升,瓶,,徐博馆仓库,1.00,8.000,8.00,,,
15060022,保卫尔牛肉汁 375ml,瓶,,徐博馆仓库,3.00,47.000,141.00,,,
15060029,味淋 1.8l,瓶,,徐博馆仓库,2.00,55.000,110.00,,,
15060033,家乐浓缩鸡汁 1kg,瓶,,徐博馆仓库,7.00,51.000,357.00,,,
15060045,李锦记财神蚝油 907G,支,,徐博馆仓库,10.00,13.500,135.00,,,
15060048,海天罐装金标生抽 1.9l,罐,,徐博馆仓库,3.00,16.600,49.80,,,
15060049,海天罐装草菇老抽 1.9L,罐,,徐博馆仓库,6.00,18.200,109.20,,,
15060050,丘比凯撒沙拉汁 1kg,支,,徐博馆仓库,3.00,60.000,180.00,,,
15060054,鸡饭老抽 640ml,支,,徐博馆仓库,5.00,21.000,105.00,,,
15060062,东古一品鲜酱油 500ML,支,,徐博馆仓库,10.00,7.000,70.00,,,
15060063,丘比焙煎芝麻汁 1.5L,支,,徐博馆仓库,4.00,60.000,240.00,,,
15060064,韩国烧汁,支,,徐博馆仓库,7.00,60.000,420.00,,,
15060065,李派林急汁,支,,徐博馆仓库,2.00,17.500,35.00,,,
15060069,家乐麻辣鲜露 400ml,支,,徐博馆仓库,2.00,15.000,30.00,,,
15060084,家乐牛肉汁 480ML,支,,徐博馆仓库,4.00,34.500,138.00,,,
15070009,旗牌芥辣,支,,徐博馆仓库,1.00,8.000,8.00,,,
15070012,薯仔粉 2.46kg,罐,,徐博馆仓库,1.00,60.000,60.00,,,
15070023,鱼胶粉 500克,盒,,徐博馆仓库,2.00,52.000,104.00,,,
15070027,斧头食粉 454g,合,,徐博馆仓库,3.00,4.500,13.50,,,
15070029,依仕粉 500g,包,,徐博馆仓库,1.00,18.000,18.00,,,
15070032,松肉粉,瓶,,徐博馆仓库,1.00,11.000,11.00,,,
15070037,胡椒粉 400g,包,,徐博馆仓库,1.00,5.000,5.00,,,
15070062,奶粉 500g,包,,徐博馆仓库,4.00,30.000,120.00,,,
15070084,鸡粉 2kg,罐,,徐博馆仓库,3.00,65.000,195.00,,,
15070108,火锅料,包,,徐博馆仓库,1.00,3.500,3.50,,,
15070125,客家鸡料,盒,,徐博馆仓库,5.00,9.000,45.00,,,
15070129,木鱼素,盒,,徐博馆仓库,1.00,85.000,85.00,,,
15070146,木薯粉 0.5KG,包,,徐博馆仓库,1.00,5.500,5.50,,,
15070148,麝香,支,,徐博馆仓库,80.00,117.957,"9,436.59",,,
15080002,虾米,斤,,徐博馆仓库,8.00,56.000,448.00,,,
15080014,大花菇,斤,,徐博馆仓库,4.00,166.730,666.92,,,
15080019,竹笙,斤,,徐博馆仓库,3.70,320.000,"1,184.00",,,
15080023,榆耳,斤,,徐博馆仓库,1.00,150.000,150.00,,,
15080025,雪耳,斤,,徐博馆仓库,1.50,35.000,52.50,,,
15080035,110头元柱甫,斤,,徐博馆仓库,1.00,364.320,364.32,,,
15080080,好味面包糠,包,,徐博馆仓库,2.00,12.000,24.00,,,
15080086,师傅300改良剂,包,,徐博馆仓库,1.00,18.000,18.00,,,
15080087,羊肚菌,斤,,徐博馆仓库,2.90,"1,550.000","4,495.00",,,
15080097,黑虎掌菌,斤,,徐博馆仓库,0.50,580.000,290.00,,,
15080113,靓老鼠耳,斤,,徐博馆仓库,3.00,125.000,375.00,,,
15080139,山楂干,斤,,徐博馆仓库,1.50,15.000,22.50,,,
15080150,70头碎柱,斤,,徐博馆仓库,4.00,266.670,"1,066.68",,,
15080165,野生金耳 0.5斤/包,斤,,徐博馆仓库,1.00,100.000,100.00,,,
15080166,龙口粉丝 200g,包,,徐博馆仓库,3.00,3.500,10.50,,,
15080180,包装支竹 150G,包,,徐博馆仓库,3.00,6.500,19.50,,,
15080191,海南胡椒 1斤,包,,徐博馆仓库,36.00,58.000,"2,088.00",,,
15080193,鲨鱼胶（小）,斤,,徐博馆仓库,14.80,327.627,"4,848.88",,,
15080194,鲨鱼胶（中）,斤,,徐博馆仓库,17.80,393.150,"6,998.07",,,
15080196,黄鱼皮,斤,,徐博馆仓库,28.00,326.880,"9,152.64",,,
15090016,腰果,斤,,徐博馆仓库,5.00,34.000,170.00,,,
