物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15080194,鲨鱼胶（中）,斤,,徐博馆仓库,5.50,393.149,"2,162.32"
15080196,黄鱼皮,斤,,徐博馆仓库,28.00,326.880,"9,152.64"
15080202,山瑞裙,斤,,徐博馆仓库,14.00,666.670,"9,333.38"
15090006,绿豆,斤,,徐博馆仓库,40.00,6.500,260.00
15090016,腰果,斤,,徐博馆仓库,16.30,35.000,570.50
15090028,白芝麻,斤,,徐博馆仓库,5.00,11.500,57.50
15090029,蜜枣,斤,,徐博馆仓库,6.50,8.000,52.00
15090032,无核红枣,斤,,徐博馆仓库,4.00,7.000,28.00
15090036,意米,斤,,徐博馆仓库,2.00,9.500,19.00
15090107,红衣花生,斤,,徐博馆仓库,14.70,8.000,117.60
15090127,雪莲子,斤,,徐博馆仓库,1.00,175.000,175.00
15090148,干无花果,斤,,徐博馆仓库,2.00,20.000,40.00
15100002,鹰唛炼奶 370g,罐,,徐博馆仓库,51.00,11.282,575.40
15100004,三花淡奶 410克,罐,,徐博馆仓库,32.00,7.000,224.00
15100005,保利奶 1kg,罐,,徐博馆仓库,10.00,16.000,160.00
15100018,豆豉鲮鱼 227g,罐,,徐博馆仓库,10.00,8.000,80.00
15100020,红车厘子 737,罐,,徐博馆仓库,4.00,19.000,76.00
15100026,高达椰浆 400g,罐,,徐博馆仓库,29.00,8.000,232.00
15100034,地扪杂果,罐,,徐博馆仓库,4.00,12.000,48.00
15100070,高达黑椒碎,罐,,徐博馆仓库,2.00,52.000,104.00
15100071,桂花糖 300g,支,,徐博馆仓库,5.00,5.000,25.00
15100073,蓬盛榄菜,瓶,,徐博馆仓库,11.00,4.000,44.00
15100077,金牌水蜜桃 822g,罐,,徐博馆仓库,1.00,13.000,13.00
15100079,百利红腰豆 432g,罐,,徐博馆仓库,18.00,4.600,82.80
15100085,东古野山椒 180g,瓶,,徐博馆仓库,3.00,3.500,10.50
15100091,宝鼎黑小榄 350G,瓶,,徐博馆仓库,2.00,15.000,30.00
15100097,咸柠檬,瓶,,徐博馆仓库,1.00,85.000,85.00
15100098,酸青瓜,瓶,,徐博馆仓库,12.00,21.000,252.00
15110009,酸子姜,罐,,徐博馆仓库,13.00,12.000,156.00
15110014,麦冬,斤,,徐博馆仓库,4.00,171.500,686.00
15120001,太子参,斤,,徐博馆仓库,1.50,550.000,825.00
15120008,沙参,斤,,徐博馆仓库,2.00,122.500,245.00
15120009,玉竹,斤,,徐博馆仓库,6.00,147.000,882.00
15120010,党参,斤,,徐博馆仓库,6.00,225.000,"1,350.00"
15120019,白术,斤,,徐博馆仓库,9.00,74.500,670.50
15120022,当归,斤,,徐博馆仓库,5.00,161.660,808.30
15120026,杜仲,斤,,徐博馆仓库,1.00,22.000,22.00
15120027,罗汉果,只,,徐博馆仓库,5.00,1.200,6.00
15120038,香叶,斤,,徐博馆仓库,1.00,15.000,15.00
