物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15090107,红衣花生,斤,,徐博馆仓库,11.00,8.000,88.00
15090148,干无花果,斤,,徐博馆仓库,2.00,20.000,40.00
15100002,鹰唛炼奶 370g,罐,,徐博馆仓库,36.00,11.000,396.00
15100004,三花淡奶 410克,罐,,徐博馆仓库,47.00,7.000,329.00
15100005,保利奶 1kg,罐,,徐博馆仓库,10.00,16.000,160.00
15100018,豆豉鲮鱼 227g,罐,,徐博馆仓库,8.00,8.000,64.00
15100020,红车厘子 737,罐,,徐博馆仓库,4.00,19.000,76.00
15100026,高达椰浆 400g,罐,,徐博馆仓库,6.00,8.500,51.00
15100034,地扪杂果,罐,,徐博馆仓库,3.00,12.000,36.00
15100070,高达黑椒碎,罐,,徐博馆仓库,2.00,47.000,94.00
15100071,桂花糖 300g,支,,徐博馆仓库,4.00,5.000,20.00
15100073,蓬盛榄菜,瓶,,徐博馆仓库,14.00,4.000,56.00
15100077,金牌水蜜桃 822g,罐,,徐博馆仓库,1.00,13.000,13.00
15100079,百利红腰豆 432g,罐,,徐博馆仓库,7.00,4.500,31.50
15100085,东古野山椒 180g,瓶,,徐博馆仓库,7.00,3.500,24.50
15100091,宝鼎黑小榄 350G,瓶,,徐博馆仓库,2.00,15.000,30.00
15100097,咸柠檬,瓶,,徐博馆仓库,2.00,85.000,170.00
15100098,酸青瓜,瓶,,徐博馆仓库,12.00,21.000,252.00
15110009,酸子姜,罐,,徐博馆仓库,3.00,12.000,36.00
15110013,火窝料,包,,徐博馆仓库,2.00,3.500,7.00
15110014,麦冬,斤,,徐博馆仓库,3.00,171.500,514.50
15120001,太子参,斤,,徐博馆仓库,1.50,550.000,825.00
15120007,杞子,斤,,徐博馆仓库,2.00,32.000,64.00
15120008,沙参,斤,,徐博馆仓库,4.00,122.500,490.00
15120010,党参,斤,,徐博馆仓库,4.00,284.438,"1,137.75"
15120027,罗汉果,只,,徐博馆仓库,6.00,1.200,7.20
15120038,香叶,斤,,徐博馆仓库,2.00,15.000,30.00
15120044,桂皮,斤,,徐博馆仓库,1.00,10.000,10.00
15120048,草果,斤,,徐博馆仓库,1.00,30.000,30.00
15120049,甘草,斤,,徐博馆仓库,1.00,15.000,15.00
15120054,豆扣,斤,,徐博馆仓库,1.00,30.000,30.00
15120057,石斛,斤,,徐博馆仓库,2.00,719.260,"1,438.52"
15120074,锁阳,斤,,徐博馆仓库,2.00, , 
15120086,西藏红花,g,,徐博馆仓库,113.50,13.392,"1,520.00"
15120102,虫草花,斤,,徐博馆仓库,2.00,80.000,160.00
15120115,青花椒,斤,,徐博馆仓库,1.00,38.000,38.00
15120119,地龙干,斤,,徐博馆仓库,2.00,85.000,170.00
15120133,石斛花（金兰花）,斤,,徐博馆仓库,1.00,"1,100.000","1,100.00"
15120138,川弓,斤,,徐博馆仓库,0.20,65.000,13.00
15120143,宝光珍珠,斤,,徐博馆仓库,2.39,982.874,"2,349.07"
15120156,鹿茸片 37.5G,包,,徐博馆仓库,22.00,200.000,"4,400.00"
15120171,刺龟壳（海胆）,斤,,徐博馆仓库,3.00,48.000,144.00
15120175,15年陈皮,斤,,徐博馆仓库,18.40,464.670,"8,549.93"
15130002,十三香 40g,盒,,徐博馆仓库,10.00,1.800,18.00
,食品,,,,,,"99,866.18"
1617,雪茶,KG,,徐博馆仓库,1.50,150.000,225.00
1623,西藏雪菊花,斤,,徐博馆仓库,4.00,30.000,120.00
,饮料,,,,,,345.00
17070001,运费,次,,徐博馆仓库,2.00,23.000,46.00
Y1020082,高级料理刀,把,,徐博馆仓库,1.00,500.000,500.00
Y1020083,双立人刀,把,,徐博馆仓库,1.00,500.000,500.00
合计,,,,,"1,652.89",286.039,"471,745.40"
