物资编码,品名规格,单位,货架号,位置,数量,单价,金额
15050009,花城白米醋 630毫升,瓶,,徐博馆仓库,1.00,3.500,3.50
15050016,宁化府陈醋 330ml,支,,徐博馆仓库,72.00,10.750,774.00
15050019,宝鼎上海白醋,支,,徐博馆仓库,17.00,3.200,54.40
15060003,美极鲜 800毫升,瓶,,徐博馆仓库,7.00,35.500,248.50
15060009,日本海鲜豉油 200ml,瓶,,徐博馆仓库,14.00,19.000,266.00
15060010,李锦记旧装蚝油 510克,瓶,,徐博馆仓库,11.00,29.500,324.50
15060016,泰国鱼露 725毫升,瓶,,徐博馆仓库,6.00,8.000,48.00
15060022,保卫尔牛肉汁 375ml,瓶,,徐博馆仓库,4.00,48.000,192.00
15060024,OK汁 335ml,瓶,,徐博馆仓库,7.00,12.000,84.00
15060029,味淋 1.8l,瓶,,徐博馆仓库,3.00,55.000,165.00
15060033,家乐浓缩鸡汁 1kg,瓶,,徐博馆仓库,12.00,51.000,612.00
15060042,家乐辣鲜露 400毫升,支,,徐博馆仓库,5.00,15.000,75.00
15060045,李锦记财神蚝油 907G,支,,徐博馆仓库,10.00,13.500,135.00
15060048,海天罐装金标生抽 1.9l,罐,,徐博馆仓库,13.00,16.600,215.80
15060049,海天罐装草菇老抽 1.9L,罐,,徐博馆仓库,8.00,18.200,145.60
15060050,丘比凯撒沙拉汁 1kg,支,,徐博馆仓库,3.00,60.000,180.00
15060054,鸡饭老抽 640ml,支,,徐博馆仓库,8.00,21.000,168.00
15060062,东古一品鲜酱油 500ML,支,,徐博馆仓库,13.00,7.000,91.00
15060063,丘比焙煎芝麻汁 1.5L,支,,徐博馆仓库,3.00,60.000,180.00
15060064,韩国烧汁,支,,徐博馆仓库,4.00,60.000,240.00
15060065,李派林急汁,支,,徐博馆仓库,2.00,17.500,35.00
15060084,家乐牛肉汁 480ML,支,,徐博馆仓库,3.00,38.000,114.00
15070009,旗牌芥辣,支,,徐博馆仓库,5.00,8.000,40.00
15070023,鱼胶粉 500克,盒,,徐博馆仓库,5.00,52.000,260.00
15070026,鹰粟粉 800g,盒,,徐博馆仓库,8.00,10.000,80.00
15070027,斧头食粉 454g,合,,徐博馆仓库,5.00,4.500,22.50
15070029,依仕粉 500g,包,,徐博馆仓库,1.00,18.000,18.00
15070032,松肉粉,瓶,,徐博馆仓库,1.00,11.000,11.00
15070037,胡椒粉 400g,包,,徐博馆仓库,1.00,5.000,5.00
15070062,奶粉 500g,包,,徐博馆仓库,4.00,27.000,108.00
15070084,鸡粉 2kg,罐,,徐博馆仓库,7.00,65.000,455.00
15070125,客家鸡料,盒,,徐博馆仓库,7.00,9.000,63.00
15070129,木鱼素,盒,,徐博馆仓库,1.00,85.000,85.00
15070134,靓佛手味粉 4540g,包,,徐博馆仓库,2.00,165.000,330.00
15070146,木薯粉 0.5KG,包,,徐博馆仓库,3.00,5.500,16.50
15070148,麝香,支,,徐博馆仓库,80.00,117.957,"9,436.59"
15070151,韩国辣椒粉,包,,徐博馆仓库,1.00,60.000,60.00
15080002,虾米,斤,,徐博馆仓库,5.00,52.000,260.00
15080005,虾子,斤,,徐博馆仓库,1.00,65.000,65.00
15080014,大花菇,斤,,徐博馆仓库,2.00,166.730,333.46
15080019,竹笙,斤,,徐博馆仓库,2.00,320.000,640.00
15080023,榆耳,斤,,徐博馆仓库,1.00,150.000,150.00
15080025,雪耳,斤,,徐博馆仓库,1.50,35.000,52.50
15080080,好味面包糠,包,,徐博馆仓库,2.00,12.000,24.00
15080086,师傅300改良剂,包,,徐博馆仓库,1.00,18.000,18.00
15080087,羊肚菌,斤,,徐博馆仓库,2.50,"1,550.000","3,875.00"
15080097,黑虎掌菌,斤,,徐博馆仓库,2.00,580.000,"1,160.00"
15080113,靓老鼠耳,斤,,徐博馆仓库,8.00,125.000,"1,000.00"
15080139,山楂干,斤,,徐博馆仓库,2.00,15.000,30.00
15080150,70头碎柱,斤,,徐博馆仓库,5.00,248.430,"1,242.15"
15080165,野生金耳 0.5斤/包,斤,,徐博馆仓库,1.00,100.000,100.00
15080166,龙口粉丝 200g,包,,徐博馆仓库,8.00,3.500,28.00
15080180,包装支竹 150G,包,,徐博馆仓库,3.00,6.500,19.50
15080191,海南胡椒 1斤,包,,徐博馆仓库,45.00,58.000,"2,610.00"
15080193,鲨鱼胶（小）,斤,,徐博馆仓库,14.80,327.627,"4,848.88"
15080194,鲨鱼胶（中）,斤,,徐博馆仓库,19.00,393.150,"7,469.85"
15080196,黄鱼皮,斤,,徐博馆仓库,28.00,326.880,"9,152.64"
15090006,绿豆,斤,,徐博馆仓库,21.00,5.000,105.00
15090009,黑豆,斤,,徐博馆仓库,5.00,8.000,40.00
15090016,腰果,斤,,徐博馆仓库,3.00,37.500,112.50
15090023,松子仁,斤,,徐博馆仓库,2.00,100.000,200.00
15090027,黑芝麻,斤,,徐博馆仓库,3.00,10.500,31.50
15090028,白芝麻,斤,,徐博馆仓库,2.00,12.000,24.00
15090030,元肉,斤,,徐博馆仓库,6.00,25.000,150.00
15090031,红枣,斤,,徐博馆仓库,5.00,7.000,35.00
