物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15080025,雪耳,斤,,徐博馆仓库,1.50,35.000,52.50
15080080,好味面包糠,包,,徐博馆仓库,2.00,12.000,24.00
15080087,羊肚菌,斤,,徐博馆仓库,2.00,"1,300.000","2,600.00"
15080097,黑虎掌菌,斤,,徐博馆仓库,1.00,580.000,580.00
15080109,日本昆布 0.2斤/包,包,,徐博馆仓库,16.00,113.600,"1,817.60"
15080113,靓老鼠耳,斤,,徐博馆仓库,7.40,105.000,777.00
15080150,70头碎柱,斤,,徐博馆仓库,3.50,283.329,991.65
15080157,70头柱甫,斤,,徐博馆仓库,1.00,387.060,387.06
15080166,龙口粉丝 200g,包,,徐博馆仓库,16.00,3.500,56.00
15080191,海南胡椒 1斤,包,,徐博馆仓库,9.00,58.000,522.00
15080193,鲨鱼胶（小）,斤,,徐博馆仓库,7.80,327.627,"2,555.49"
15080194,鲨鱼胶（中）,斤,,徐博馆仓库,5.50,393.149,"2,162.32"
15080196,黄鱼皮,斤,,徐博馆仓库,28.00,326.880,"9,152.64"
15080202,山瑞裙,斤,,徐博馆仓库,14.00,666.670,"9,333.38"
15090006,绿豆,斤,,徐博馆仓库,10.00,6.500,65.00
15090016,腰果,斤,,徐博馆仓库,22.70,35.000,794.50
15090023,松子仁,斤,,徐博馆仓库,1.00,95.000,95.00
15090029,蜜枣,斤,,徐博馆仓库,7.00,8.000,56.00
15090032,无核红枣,斤,,徐博馆仓库,5.00,7.000,35.00
15090036,意米,斤,,徐博馆仓库,2.00,9.500,19.00
15090107,红衣花生,斤,,徐博馆仓库,7.00,8.000,56.00
15090127,雪莲子,斤,,徐博馆仓库,1.00,175.000,175.00
15090147,无心白莲子,斤,,徐博馆仓库,2.00,40.000,80.00
15090148,干无花果,斤,,徐博馆仓库,2.00,20.000,40.00
15100002,鹰唛炼奶 370g,罐,,徐博馆仓库,35.00,11.300,395.50
15100004,三花淡奶 410克,罐,,徐博馆仓库,5.00,7.000,35.00
15100005,保利奶 1kg,罐,,徐博馆仓库,15.00,16.000,240.00
15100018,豆豉鲮鱼 227g,罐,,徐博馆仓库,4.00,8.000,32.00
15100020,红车厘子 737,罐,,徐博馆仓库,12.00,19.000,228.00
15100026,高达椰浆 400g,罐,,徐博馆仓库,28.00,8.500,238.00
15100034,地扪杂果,罐,,徐博馆仓库,5.00,12.000,60.00
15100070,高达黑椒碎,罐,,徐博馆仓库,1.00,52.000,52.00
15100071,桂花糖 300g,支,,徐博馆仓库,5.00,5.000,25.00
15100073,蓬盛榄菜,瓶,,徐博馆仓库,8.00,4.000,32.00
15100077,金牌水蜜桃 822g,罐,,徐博馆仓库,3.00,13.000,39.00
15100079,百利红腰豆 432g,罐,,徐博馆仓库,22.00,4.600,101.20
15100085,东古野山椒 180g,瓶,,徐博馆仓库,6.00,3.500,21.00
15100091,宝鼎黑小榄 350G,瓶,,徐博馆仓库,2.00,15.000,30.00
15100097,咸柠檬,瓶,,徐博馆仓库,1.00,85.000,85.00
15100098,酸青瓜,瓶,,徐博馆仓库,12.00,21.000,252.00
15110009,酸子姜,罐,,徐博馆仓库,6.00,12.000,72.00
15110014,麦冬,斤,,徐博馆仓库,6.00,171.567,"1,029.40"
15120001,太子参,斤,,徐博馆仓库,1.50,550.000,825.00
15120004,海马,斤,,徐博馆仓库,0.70,"3,000.000","2,100.00"
15120007,杞子,斤,,徐博馆仓库,1.00,33.000,33.00
15120008,沙参,斤,,徐博馆仓库,6.00,98.067,588.40
15120009,玉竹,斤,,徐博馆仓库,6.00,147.000,882.00
15120010,党参,斤,,徐博馆仓库,6.00,225.000,"1,350.00"
15120019,白术,斤,,徐博馆仓库,7.00,74.786,523.50
15120022,当归,斤,,徐博馆仓库,5.00,161.660,808.30
15120026,杜仲,斤,,徐博馆仓库,1.00,22.000,22.00
15120027,罗汉果,只,,徐博馆仓库,5.00,1.200,6.00
15120038,香叶,斤,,徐博馆仓库,1.00,15.000,15.00
15120043,八角,斤,,徐博馆仓库,2.00,15.000,30.00
15120044,桂皮,斤,,徐博馆仓库,2.00,10.000,20.00
15120048,草果,斤,,徐博馆仓库,2.00,30.000,60.00
15120049,甘草,斤,,徐博馆仓库,2.00,15.000,30.00
15120054,豆扣,斤,,徐博馆仓库,2.00,32.000,64.00
15120057,石斛,斤,,徐博馆仓库,2.00,733.335,"1,466.67"
15120059,灵芝,斤,,徐博馆仓库,1.00,85.000,85.00
15120074,锁阳,斤,,徐博馆仓库,2.00, , 
15120076,巴戟,斤,,徐博馆仓库,1.00,55.000,55.00
15120086,西藏红花,g,,徐博馆仓库,56.75,13.392,760.00
15120115,青花椒,斤,,徐博馆仓库,1.00,38.000,38.00
15120133,石斛花（金兰花）,斤,,徐博馆仓库,1.00,"1,100.000","1,100.00"
15120138,川弓,斤,,徐博馆仓库,0.20,65.000,13.00
15120143,宝光珍珠,斤,,徐博馆仓库,1.99,982.874,"1,955.92"
15120156,鹿茸片 37.5G,包,,徐博馆仓库,22.00,200.000,"4,400.00"
15120171,刺龟壳（海胆）,斤,,徐博馆仓库,3.00,48.000,144.00
15120172,黄芪,斤,,徐博馆仓库,7.00,110.000,770.00
15120175,15年陈皮,斤,,徐博馆仓库,7.50,464.669,"3,485.02"
,食品,,,,,,"424,781.58"
1617,雪茶,KG,,徐博馆仓库,1.50,150.000,225.00
1623,西藏雪菊花,斤,,徐博馆仓库,3.00,24.000,72.00
,饮料,,,,,,297.00
17070001,运费,次,,徐博馆仓库,2.00,23.000,46.00
Y1020082,高级料理刀,把,,徐博馆仓库,1.00,500.000,500.00
Y1020083,双立人刀,把,,徐博馆仓库,1.00,500.000,500.00
合计,,,,,"1,570.44",272.025,"427,198.58"
