id,name,quantity_unit,price_unit,price,quantity,revenue,department_id,month_id,year_id
160,拍蒜头,碗,RMB,15.00,1.0,15.00,5,9,1
161,桂花玫瑰蜜炖官燕盏,位,RMB,280.00,4.0,1120.00,6,6,1
162,鲜胡椒石窝茄子,例,RMB,58.00,133.0,7714.00,5,12,1
163,九层塔鲜胡椒炒斑球,例,RMB,168.00,2.0,336.00,8,3,1
164,香葱煎豆腐,例,RMB,58.00,1.0,58.00,5,10,1
165,名酱红米肠（小）,份,RMB,13.00,113.0,1469.00,3,3,2
166,蛋挞,件,RMB,8.00,12.0,96.00,3,6,1
167,雪山菜肉包（套餐）,份,RMB,9.84,50.0,492.00,3,10,1
168,石斛灵芝炖地龙,位,RMB,138.00,299.0,41262.00,9,8,1
169,紫薯福果泡多宝鱼球,例,RMB,88.00,9.0,792.00,5,1,1
170,鲜胡椒石窝茄子(8月套餐),份,RMB,41.50,7.0,290.50,5,8,1
171,娃娃鱼（特惠价）,斤,RMB,368.64,11.2,4128.8,8,12,1
172,栗子茸腊味炒饭,位,RMB,38.00,6.0,228.00,5,4,1
173,烟樱花猪煮潮州鲜笋,例,RMB,88.00,19.0,1672.00,5,12,1
174,生蒜片,碟,RMB,5.00,1.0,5.00,5,5,1
175,鹅肝粒炒饭（顶）,份,RMB,30.00,70.0,2100.00,5,8,1
176,斑马虾(半价）,斤,RMB,283.37,55.1,15613.7,8,5,1
177,清炒荞菜,例,RMB,68.00,1.0,68.00,5,3,2
178,烧珍菌和牛隔膜（1月套餐）,位,RMB,202.68,23.0,4661.64,5,4,1
179,洋葱小木耳,份,RMB,28.00,147.0,4116.00,1,6,1
180,美国燕麦局大连鲍,位,RMB,88.00,29.0,2552.00,8,8,1
181,精选黑森林生日蛋糕(员工价）,磅,RMB,48.00,2.0,96.00,3,6,1
182,鹅肝三拼,份,RMB,504.00,1.0,504.00,5,3,1
183,芥兰,例,RMB,58.00,26.0,1508.00,5,11,1
184,龙虾头爪煲粥,大,RMB,120.00,1.0,120.00,5,4,2
185,龙虾仔,斤,RMB,393.75,21.2,8347.6,8,9,1
186,沙参红枣鸡脚（特）,份,RMB,26.00,1.0,26.00,3,3,2
187,台湾绿茶蛋糕（中）,份,RMB,18.00,76.0,1368.00,3,8,1
188,蛋炒饭,例,RMB,58.00,1.0,58.00,5,12,1
189,青苹果煎西班牙乳猪,份,RMB,78.00,41.0,3198.00,1,9,1
190,鲜竹笙竹笙蛋汤,位,RMB,88.00,20.0,1760.00,9,6,1
191,家常肉碎烧海参,份,RMB,13.00,1.0,13.00,5,1,2
192,拍青瓜,份,RMB,28.00,58.0,1624.00,1,7,1
193,朱古力心太软,位,RMB,20.00,18.0,360.00,3,4,1
194,九层塔鲜胡椒炒斑球,例,RMB,168.00,7.0,1176.00,8,10,1
195,鱼籽酱焖野生刺参,位,RMB,128.00,13.0,1664.00,4,7,1
196,西芹木耳炒淮山,中,RMB,156.00,1.0,156.00,5,7,1
197,鲜胡椒石窝茄子,例,RMB,58.00,91.0,5278.00,5,7,1
198,烧鹅（只）,只,RMB,360.00,1.0,360.00,5,1,1
199,海胆刺芹汤,位,RMB,68.00,52.0,3536.00,9,2,1
200,香芋茨实南瓜煲,例,RMB,68.00,58.0,3944.00,5,10,1
201,松子仁黄豆炒拆骨猪手,例,RMB,68.00,24.0,1632.00,5,4,2
202,松子仁黄豆炒拆骨猪手,例,RMB,68.00,33.0,2244.00,5,4,1
203,瑶柱好味酱（瓶）,瓶,RMB,80.00,1.0,80.00,5,5,1
204,春菜苗（位）,位,RMB,28.00,47.0,1316.00,5,3,2
205,普通茶（散）,位,RMB,10.00,937.0,9370.00,2,12,1
206,松茸莲藕酥（半价）,件,RMB,6.00,20.0,120.00,3,4,1
207,日本鱼沼米生滚粥,例,RMB,98.00,9.0,882.00,5,5,1
208,白切鸡,只,RMB,180.00,3.0,540.00,5,10,1
209,蒜子辣酱油（瓶）,瓶,RMB,40.00,12.0,480.00,5,3,1
210,原笼五仁杂粮饭（小）,份,RMB,13.00,72.0,936.00,3,3,2
211,焦糖蜂巢糕,半打,RMB,30.00,8.0,240.00,3,1,2
212,蒜子辣酱油（瓶）,瓶,RMB,40.00,6.0,240.00,5,3,2
213,法式龙虾扒（2月套餐）,位,RMB,119.59,24.0,2870.01,8,2,1
214,羊肚菌炖瘦肉,位,RMB,128.00,3.0,384.00,5,4,2
215,菜心,例,RMB,58.0,48.0,2783.9,5,7,1
216,软中华,包,RMB,128.00,11.0,1408.00,2,6,1
217,葱烧汁捞粗面（大）,份,RMB,22.00,79.0,1738.00,5,10,1
218,青瓜片,例,RMB,68.00,1.0,68.00,5,6,1
